"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:54:10,5440845","parent.exe","13140","Process Start","","SUCCESS","Parent PID: 13908, Command line: ""C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"" , Current directory: C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\, Environment: ;	=::=::\;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Users\permi\AppData\Roaming;	ChocolateyInstall=C:\ProgramData\chocolatey;	ChocolateyLastPathUpdate=132416112850793828;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=DELL;	ComSpec=C:\Windows\system32\cmd.exe;	DriverData=C:\Windows\System32\Drivers\DriverData;	GDAL_DATA=C:\Program Files\PostgreSQL\12\gdal-data;	HOMEDRIVE=C:;	HOMEPATH=\Users\permi;	LOCALAPPDATA=C:\Users\permi\AppData\Local;	LOGONSERVER=\\DELL;	NUMBER_OF_PROCESSORS=8;	OneDrive=C:\Users\permi\OneDrive;	OneDriveConsumer=C:\Users\permi\OneDrive;	OPENSSL_CONF=C:\Program Files\PostgreSQL\psqlODBC\etc\openssl.cnf;	OS=Windows_NT;	Path=C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python38\Scripts\;C:\Python38\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\nodejs\;C:\ProgramData\chocolatey\bin;C:\Program Files (x86)\IncrediBuild;C:\Program Files\Git\cmd;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\swipl\bin;C:\Program Files (x86)\Windows Kits\10\Windows Performance Toolkit\;C:\Program Files\Docker\Docker\resources\bin;C:\ProgramData\DockerDesktop\version-bin;C:\Users\permi\AppData\Local\Microsoft\WindowsApps;C:\Users\permi\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\PyCharm 2020.2\bin;C:\Users\permi\AppData\Roaming\npm;C:\Users\permi\AppData\Local\GitHubDesktop\bin;C:\Program Files (x86)\Nmap;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY;.PYW;	POSTGIS_ENABLE_OUTDB_RASTERS=1;	POSTGIS_GDAL_ENABLED_DRIVERS=GTiff PNG JPEG GIF XYZ DTED USGSDEM AAIGrid;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 126 Stepping 5, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=7e05;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSModulePath=%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules;	PUBLIC=C:\Users\Public;	PyCharm=C:\Program Files\JetBrains\PyCharm 2020.2\bin;;	SystemDrive=C:;	SystemRoot=C:\Windows;	TEMP=C:\Users\permi\AppData\Local\Temp;	TMP=C:\Users\permi\AppData\Local\Temp;	USERDOMAIN=DELL;	USERDOMAIN_ROAMINGPROFILE=DELL;	USERNAME=permi;	USERPROFILE=C:\Users\permi;	windir=C:\Windows"
"14:54:10,5440923","parent.exe","13140","Thread Create","","SUCCESS","Thread ID: 11208"
"14:54:10,5477078","parent.exe","13140","Load Image","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe","SUCCESS","Image Base: 0x7f0000, Image Size: 0x20000"
"14:54:10,5477740","parent.exe","13140","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7ffe4edc0000, Image Size: 0x1f0000"
"14:54:10,5478288","parent.exe","13140","Load Image","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Image Base: 0x77d10000, Image Size: 0x19a000"
"14:54:10,5479727","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"14:54:10,5479845","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"14:54:10,5479961","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"14:54:10,5480132","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"14:54:10,5480323","parent.exe","13140","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"14:54:10,5480437","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"14:54:10,5480944","parent.exe","13140","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"14:54:10,5481017","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"14:54:10,5481096","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"14:54:10,5481173","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"14:54:10,5483738","parent.exe","13140","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"14:54:10,5484693","parent.exe","13140","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x7ffe4cf10000, Image Size: 0x55000"
"14:54:10,5485602","parent.exe","13140","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x7ffe4e180000, Image Size: 0x7d000"
"14:54:10,5488710","parent.exe","13140","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"14:54:10,5490553","parent.exe","13140","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"14:54:10,5490896","parent.exe","13140","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows"
"14:54:10,5491083","parent.exe","13140","CloseFile","C:\Windows","SUCCESS",""
"14:54:10,5491378","parent.exe","13140","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86","SUCCESS","Desired Access: Read"
"14:54:10,5491529","parent.exe","13140","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\parent.exe","NAME NOT FOUND","Length: 520"
"14:54:10,5491603","parent.exe","13140","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default)","SUCCESS","Type: REG_SZ, Length: 26, Data: wow64cpu.dll"
"14:54:10,5491700","parent.exe","13140","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wow64\x86","SUCCESS",""
"14:54:10,5492418","parent.exe","13140","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x77d00000, Image Size: 0x9000"
"14:54:10,5494662","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"14:54:10,5494823","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"14:54:10,5494949","parent.exe","13140","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,5495049","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"14:54:10,5495150","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"14:54:10,5495297","parent.exe","13140","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"14:54:10,5495454","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"14:54:10,5495935","parent.exe","13140","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"14:54:10,5496021","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"14:54:10,5496114","parent.exe","13140","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,5496187","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"14:54:10,5496282","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"14:54:10,5498939","parent.exe","13140","CreateFile","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"14:54:10,5499717","parent.exe","13140","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x77260000, Image Size: 0xe0000"
"14:54:10,5500769","parent.exe","13140","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x76ef0000, Image Size: 0x1ff000"
"14:54:10,5506404","parent.exe","13140","CreateFile","C:\Windows\System32\conhost.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"14:54:10,5506705","parent.exe","13140","CreateFileMapping","C:\Windows\System32\conhost.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"14:54:10,5506894","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Read"
"14:54:10,5506999","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Read"
"14:54:10,5507101","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 20"
"14:54:10,5507202","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"14:54:10,5507367","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Query Value"
"14:54:10,5507590","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Query Value"
"14:54:10,5507859","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 80"
"14:54:10,5507972","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"14:54:10,5508117","parent.exe","13140","CreateFileMapping","C:\Windows\System32\conhost.exe","SUCCESS","SyncType: SyncTypeOther"
"14:54:10,5508378","parent.exe","13140","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Conhost.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"14:54:10,5508624","parent.exe","13140","QuerySecurityFile","C:\Windows\System32\conhost.exe","SUCCESS","Information: Label"
"14:54:10,5509075","parent.exe","13140","QueryNameInformationFile","C:\Windows\System32\conhost.exe","SUCCESS","Name: \Windows\System32\conhost.exe"
"14:54:10,5511715","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3133677644-3410964360-2686430988-1001","SUCCESS","Desired Access: All Access"
"14:54:10,5511878","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3133677644-3410964360-2686430988-1001\\Device\HarddiskVolume4\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 37 ED 85 69 FE BB D6 01 00 00 00 00 00 00 00 00"
"14:54:10,5512032","parent.exe","13140","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3133677644-3410964360-2686430988-1001\\Device\HarddiskVolume4\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: A5 25 99 6E FE BB D6 01 00 00 00 00 00 00 00 00"
"14:54:10,5512989","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3133677644-3410964360-2686430988-1001","SUCCESS",""
"14:54:10,5513099","parent.exe","13140","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value"
"14:54:10,5513205","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value"
"14:54:10,5513545","parent.exe","13140","Process Create","C:\Windows\System32\Conhost.exe","SUCCESS","PID: 21884, Command line: \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1"
"14:54:10,5513841","parent.exe","13140","CloseFile","C:\Windows\System32\conhost.exe","SUCCESS",""
"14:54:10,6092982","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"14:54:10,6093126","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"14:54:10,6093308","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"14:54:10,6093436","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"14:54:10,6093623","parent.exe","13140","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"14:54:10,6093904","parent.exe","13140","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"14:54:10,6094070","parent.exe","13140","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,6094156","parent.exe","13140","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"14:54:10,6094281","parent.exe","13140","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"14:54:10,6094572","parent.exe","13140","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"14:54:10,6094894","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"14:54:10,6095014","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"14:54:10,6095140","parent.exe","13140","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,6095243","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:54:10,6095368","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"14:54:10,6095564","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"14:54:10,6095647","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"14:54:10,6095727","parent.exe","13140","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,6095800","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LPGO","NAME NOT FOUND","Length: 20"
"14:54:10,6095874","parent.exe","13140","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"14:54:10,6097856","parent.exe","13140","Thread Create","","SUCCESS","Thread ID: 19464"
"14:54:10,6098064","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"14:54:10,6098226","parent.exe","13140","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"14:54:10,6098335","parent.exe","13140","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:54:10,6098394","parent.exe","13140","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"14:54:10,6098763","parent.exe","13140","Thread Create","","SUCCESS","Thread ID: 13236"
